2025-04-28 13:03:35,914 - Connected to Vybe live endpoint
2025-04-30 13:46:13,278 - Connected to Vybe live endpoint
2025-04-30 14:32:54,892 - WebSocket error: [Errno 54] Connection reset by peer
2025-04-30 14:32:54,913 - WebSocket closed: None, None
2025-04-30 14:33:09,157 - Connected to Vybe live endpoint
2025-04-30 14:57:29,423 - Connected to Vybe live endpoint
2025-04-30 15:00:05,336 - Connected to Vybe live endpoint
2025-04-30 15:01:34,298 - Connected to Vybe live endpoint
2025-04-30 15:03:41,835 - Connected to Vybe live endpoint
2025-04-30 15:05:57,320 - WebSocket error: [Errno 54] Connection reset by peer
2025-04-30 15:05:57,339 - WebSocket closed: None, None
2025-04-30 15:06:05,622 - Connected to Vybe live endpoint
2025-04-30 15:07:34,117 - WebSocket error: [Errno 54] Connection reset by peer
2025-04-30 15:07:34,117 - WebSocket closed: None, None
2025-04-30 15:07:58,918 - Connected to Vybe live endpoint
2025-04-30 15:09:59,357 - WebSocket error: Connection timed out
2025-04-30 15:09:59,359 - WebSocket closed: None, None
2025-04-30 15:10:34,366 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:10:34,368 - WebSocket closed: None, None
2025-04-30 15:10:39,376 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:10:39,376 - WebSocket closed: None, None
2025-04-30 15:10:44,382 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:10:44,383 - WebSocket closed: None, None
2025-04-30 15:10:49,387 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:10:49,388 - WebSocket closed: None, None
2025-04-30 15:10:54,391 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:10:54,391 - WebSocket closed: None, None
2025-04-30 15:10:59,396 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:10:59,396 - WebSocket closed: None, None
2025-04-30 15:11:04,399 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:11:04,399 - WebSocket closed: None, None
2025-04-30 15:11:09,402 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:11:09,402 - WebSocket closed: None, None
